GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oficina,br.com.fiap.oficina.controller,OrdemServicoController,9,66,1,5,1,10,2,9,1,7
oficina,br.com.fiap.oficina.controller,ClienteController,0,39,0,0,0,7,0,6,0,6
oficina,br.com.fiap.oficina.controller,VeiculoController,0,53,0,0,0,10,0,8,0,8
oficina,br.com.fiap.oficina.controller,ProdutoController,5,55,1,1,1,10,1,8,0,8
oficina,br.com.fiap.oficina.service,VeiculoService,16,216,3,5,1,48,3,15,1,13
oficina,br.com.fiap.oficina.service,ClienteService,17,154,3,3,2,32,3,10,1,9
oficina,br.com.fiap.oficina.service,ProdutoService,49,324,7,15,11,82,7,19,1,14
oficina,br.com.fiap.oficina.service,OrdemServicoService,92,472,11,31,17,108,15,32,5,18
oficina,br.com.fiap.oficina.domain.model,Produto,0,8,0,0,0,4,0,2,0,2
oficina,br.com.fiap.oficina.domain.model,OrdemServico,0,8,0,0,0,4,0,2,0,2
oficina,br.com.fiap.oficina.domain.model,ClienteVeiculo,0,4,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.model,SaldoEstoque,0,4,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.model,Cliente,0,8,0,0,0,4,0,2,0,2
oficina,br.com.fiap.oficina.domain.model,Veiculo,0,8,0,0,0,4,0,2,0,2
oficina,br.com.fiap.oficina.domain.model,MovimentacaoEstoque,0,4,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.model,OsItem,0,4,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.handler.exception,RegraDeNegocioException,0,4,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.handler.exception,RecursoNaoEncontradoException,0,10,0,0,0,4,0,2,0,2
oficina,br.com.fiap.oficina,OficinaApplication,5,3,0,0,2,1,1,1,1,1
oficina,br.com.fiap.oficina.dto.response,VeiculoResponse,0,27,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.response,OrdemServicoResponse,0,45,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.response,ClienteResponse,0,27,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.response,OrdemServicoResponse.OsItemResponse,0,27,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.response,MovimentacaoEstoqueResponse,0,27,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.response,ProdutoResponse,0,30,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.handler,GlobalExceptionHandler,3,93,1,1,1,25,2,7,1,7
oficina,br.com.fiap.oficina.dto.request,OrdemServicoRequest,0,18,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.request,OrdemServicoRequest.OsItemRequest,0,15,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.request,ProdutoRequest,0,21,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.request,ClienteRequest,0,21,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.request,MovimentacaoEstoqueRequest,0,18,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.dto.request,VeiculoRequest,0,21,0,0,0,1,0,1,0,1
oficina,br.com.fiap.oficina.config,DataLoader,431,4,0,0,95,1,5,1,5,1
oficina,br.com.fiap.oficina.config,CorsConfig,0,46,0,0,0,10,0,2,0,2
oficina,br.com.fiap.oficina.config,SwaggerConfig,0,25,0,0,0,9,0,2,0,2
oficina,br.com.fiap.oficina.domain.enums,TipoMovimentacao,0,15,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.enums,TipoProduto,0,15,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.enums,TipoDocumento,0,15,0,0,0,2,0,1,0,1
oficina,br.com.fiap.oficina.domain.enums,StatusOS,0,39,0,0,0,7,0,1,0,1
